sequence,found_in_MEGAHIT,found_in_SPAdes,status,MEGAHIT_vs2_score,MEGAHIT_dvf_score,MEGAHIT_identified_by,SPAdes_vs2_score,SPAdes_dvf_score,SPAdes_identified_by
k141_67500,Yes,No,Consensus,0.64,0.3550011813640594,Both,N/A,N/A,N/A
k141_110514,Yes,No,Consensus,0.5,4.554916813503951e-06,Both,N/A,N/A,N/A
k141_159715,Yes,No,Consensus,0.767,0.0038773007690906,Both,N/A,N/A,N/A
k141_141110,Yes,No,Consensus,0.727,0.0230542719364166,Both,N/A,N/A,N/A
k141_47377,Yes,No,Consensus,0.66,0.001523292157799,Both,N/A,N/A,N/A
k141_133501,Yes,No,Consensus,0.507,0.0002380694349994,Both,N/A,N/A,N/A
k141_139349,Yes,No,Consensus,0.58,0.0816469863057136,Both,N/A,N/A,N/A
k141_115694,Yes,No,Consensus,1.0,0.3529235124588012,Both,N/A,N/A,N/A
k141_68403,Yes,No,Consensus,0.673,0.595707356929779,Both,N/A,N/A,N/A
k141_129118,Yes,No,Consensus,0.98,0.440915584564209,Both,N/A,N/A,N/A
NODE_3333_length_1256_cov_3.442964,No,Yes,Consensus,N/A,N/A,N/A,1.0,0.4829243123531341,Both
k141_104354,Yes,No,Consensus,0.587,1.232712293131044e-06,Both,N/A,N/A,N/A
k141_84826,Yes,No,Consensus,0.967,0.3425141274929046,Both,N/A,N/A,N/A
NODE_1245_length_1651_cov_5.031328,No,Yes,Consensus,N/A,N/A,N/A,0.933,0.0668293610215187,Both
k141_87913,Yes,No,Consensus,0.507,0.0032426903489977,Both,N/A,N/A,N/A
k141_1225,Yes,No,Consensus,0.993,0.9474252462387084,Both,N/A,N/A,N/A
k141_39055,Yes,No,Consensus,0.96,0.0066000195220112,Both,N/A,N/A,N/A
k141_135904,Yes,No,Consensus,0.673,0.0529652088880538,Both,N/A,N/A,N/A
NODE_1332_length_1618_cov_3.543186,No,Yes,Consensus,N/A,N/A,N/A,1.0,0.6379146575927734,Both
k141_167377,Yes,No,Consensus,0.953,0.0042273448780179,Both,N/A,N/A,N/A
k141_72173,Yes,No,Consensus,0.573,1.5408517128889798e-07,Both,N/A,N/A,N/A
k141_103263,Yes,No,Consensus,0.993,0.0038624959997832,Both,N/A,N/A,N/A
k141_175018,Yes,No,Consensus,0.887,1.9775146938627582e-05,Both,N/A,N/A,N/A
k141_26968,Yes,No,Consensus,0.9,6.503441454697168e-06,Both,N/A,N/A,N/A
k141_130913,Yes,No,Consensus,1.0,0.0019221199909225,Both,N/A,N/A,N/A
k141_65544,Yes,No,Consensus,0.573,0.4569699466228485,Both,N/A,N/A,N/A
k141_167199,Yes,No,Consensus,,0.002060069469735,Both,N/A,N/A,N/A
k141_121084,Yes,No,Consensus,0.747,0.0581588670611381,Both,N/A,N/A,N/A
k141_111853,Yes,No,Consensus,0.593,0.0337268225848674,Both,N/A,N/A,N/A
k141_66093,Yes,No,Consensus,0.967,0.4854508638381958,Both,N/A,N/A,N/A
k141_64105,Yes,No,Consensus,0.86,0.009207603521645,Both,N/A,N/A,N/A
k141_173296,Yes,No,Consensus,0.64,3.978349923272617e-06,Both,N/A,N/A,N/A
k141_151854,Yes,No,Consensus,,0.0001694076781859,Both,N/A,N/A,N/A
NODE_2088_length_1429_cov_1.813683,No,Yes,Consensus,N/A,N/A,N/A,0.98,0.0071224891580641,Both
k141_178113,Yes,No,Consensus,0.68,0.0003327289596199,Both,N/A,N/A,N/A
k141_147527,Yes,No,Consensus,0.993,0.6232331395149231,Both,N/A,N/A,N/A
k141_67420,Yes,No,Consensus,0.727,0.1435357928276062,Both,N/A,N/A,N/A
k141_50198,Yes,No,Consensus,0.807,0.999915599822998,Both,N/A,N/A,N/A
k141_75030,Yes,No,Consensus,0.593,0.0132875330746173,Both,N/A,N/A,N/A
k141_168832,Yes,No,Consensus,0.78,0.0171886906027793,Both,N/A,N/A,N/A
k141_15890,Yes,No,Consensus,0.893,0.0026912144385278,Both,N/A,N/A,N/A
k141_113170,Yes,No,Consensus,0.993,0.2625545263290405,Both,N/A,N/A,N/A
k141_158064,Yes,No,Consensus,0.627,0.8650914430618286,Both,N/A,N/A,N/A
k141_46341,Yes,No,Consensus,0.867,0.0005986423930153,Both,N/A,N/A,N/A
k141_54042,Yes,No,Consensus,0.967,0.9518799781799316,Both,N/A,N/A,N/A
k141_175715,Yes,No,Consensus,0.887,0.0002187013596994,Both,N/A,N/A,N/A
k141_20642,Yes,No,Consensus,0.8,0.3115954399108886,Both,N/A,N/A,N/A
k141_92273,Yes,No,Consensus,0.513,2.015817983647139e-07,Both,N/A,N/A,N/A
k141_130517,Yes,No,Consensus,0.767,0.0161105282604694,Both,N/A,N/A,N/A
k141_682,Yes,No,Consensus,0.967,0.1202188581228256,Both,N/A,N/A,N/A
NODE_3491_length_1241_cov_2.006745,No,Yes,Consensus,N/A,N/A,N/A,,9.436789838446202e-08,Both
k141_201,Yes,No,Consensus,0.787,0.150121197104454,Both,N/A,N/A,N/A
k141_128039,Yes,No,Consensus,0.733,0.0241803172975778,Both,N/A,N/A,N/A
k141_38177,Yes,No,Consensus,0.733,0.0011917861411347,Both,N/A,N/A,N/A
k141_168670,Yes,No,Consensus,0.987,0.1416022926568985,Both,N/A,N/A,N/A
NODE_1241_length_1653_cov_2.001877,No,Yes,Consensus,N/A,N/A,N/A,0.9,0.016922540962696,Both
NODE_7098_length_1026_cov_1.129763,No,Yes,Consensus,N/A,N/A,N/A,0.933,0.0002956288517452,Both
k141_179947,Yes,No,Consensus,0.96,0.1369842886924743,Both,N/A,N/A,N/A
k141_37398,Yes,No,Consensus,0.88,0.1058674827218055,Both,N/A,N/A,N/A
k141_101392,Yes,No,Consensus,0.947,0.182449996471405,Both,N/A,N/A,N/A
k141_156068,Yes,No,Consensus,0.547,0.0003678588545881,Both,N/A,N/A,N/A
k141_96271,Yes,No,Consensus,0.713,0.0535398833453655,Both,N/A,N/A,N/A
k141_72360,Yes,No,Consensus,0.933,0.0092177409678697,Both,N/A,N/A,N/A
k141_24143,Yes,No,Consensus,0.92,0.4627147316932678,Both,N/A,N/A,N/A
k141_60368,Yes,No,Consensus,0.993,0.0101436330005526,Both,N/A,N/A,N/A
NODE_4032_length_1196_cov_1.359334,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.0682853311300277,Both
NODE_1305_length_1627_cov_2.877226,No,Yes,Consensus,N/A,N/A,N/A,0.9,0.0996981263160705,Both
k141_70127,Yes,No,Consensus,0.927,0.0006739381933584,Both,N/A,N/A,N/A
k141_53551,Yes,No,Consensus,0.627,0.0288968887180089,Both,N/A,N/A,N/A
k141_71607,Yes,No,Consensus,0.98,0.7138033509254456,Both,N/A,N/A,N/A
k141_116893,Yes,No,Consensus,0.76,0.0193801261484622,Both,N/A,N/A,N/A
k141_66189,Yes,No,Consensus,0.827,9.146761840383988e-06,Both,N/A,N/A,N/A
k141_174403,Yes,No,Consensus,1.0,0.8456077575683594,Both,N/A,N/A,N/A
k141_141855,Yes,No,Consensus,0.713,0.0886337384581565,Both,N/A,N/A,N/A
k141_164092,Yes,No,Consensus,0.72,0.0002420085656922,Both,N/A,N/A,N/A
k141_147665,Yes,No,Consensus,0.807,0.0870129019021987,Both,N/A,N/A,N/A
k141_90939,Yes,No,Consensus,0.667,0.0115429647266864,Both,N/A,N/A,N/A
k141_97949,Yes,No,Consensus,1.0,0.4963500797748565,Both,N/A,N/A,N/A
k141_165088,Yes,No,Consensus,0.753,0.0079296492040157,Both,N/A,N/A,N/A
k141_140796,Yes,No,Consensus,,0.0015409869374707,Both,N/A,N/A,N/A
k141_1251,Yes,No,Consensus,0.993,0.942768096923828,Both,N/A,N/A,N/A
NODE_7312_length_1016_cov_2.105099,No,Yes,Consensus,N/A,N/A,N/A,0.967,0.0784043073654174,Both
k141_46012,Yes,No,Consensus,0.827,0.0242269076406955,Both,N/A,N/A,N/A
k141_67922,Yes,No,Consensus,0.607,9.46968502830714e-05,Both,N/A,N/A,N/A
k141_93631,Yes,No,Consensus,0.993,0.3811176121234894,Both,N/A,N/A,N/A
k141_150153,Yes,No,Consensus,0.6,0.0015417125541716,Both,N/A,N/A,N/A
k141_42132,Yes,No,Consensus,0.9,0.1053837239742279,Both,N/A,N/A,N/A
k141_107786,Yes,No,Consensus,0.58,0.0116600766777992,Both,N/A,N/A,N/A
k141_149510,Yes,No,Consensus,1.0,0.1039493754506111,Both,N/A,N/A,N/A
k141_48628,Yes,No,Consensus,0.84,1.9587510905694216e-05,Both,N/A,N/A,N/A
k141_71810,Yes,No,Consensus,0.7,0.0001474681484978,Both,N/A,N/A,N/A
k141_18943,Yes,No,Consensus,0.847,0.5801123976707458,Both,N/A,N/A,N/A
k141_23572,Yes,No,Consensus,0.647,0.0298305954784154,Both,N/A,N/A,N/A
k141_70320,Yes,No,Consensus,0.62,0.0212169513106346,Both,N/A,N/A,N/A
k141_104969,Yes,No,Consensus,0.993,0.3648829758167267,Both,N/A,N/A,N/A
k141_62079,Yes,No,Consensus,0.76,0.0002519986301194,Both,N/A,N/A,N/A
k141_27047,Yes,No,Consensus,0.907,0.0013214414939284,Both,N/A,N/A,N/A
k141_171009,Yes,No,Consensus,0.987,0.0242665968835353,Both,N/A,N/A,N/A
k141_128845,Yes,No,Consensus,0.72,0.0075131892226636,Both,N/A,N/A,N/A
k141_93097,Yes,No,Consensus,0.72,0.0016675610095262,Both,N/A,N/A,N/A
k141_109642,Yes,No,Consensus,0.793,0.1570754051208496,Both,N/A,N/A,N/A
k141_110339,Yes,No,Consensus,0.68,0.4539390802383423,Both,N/A,N/A,N/A
k141_174306,Yes,No,Consensus,0.84,0.0004494565655477,Both,N/A,N/A,N/A
k141_92536,Yes,No,Consensus,1.0,0.0003984045179095,Both,N/A,N/A,N/A
k141_115093,Yes,No,Consensus,0.727,0.9999523758888244,Both,N/A,N/A,N/A
k141_138303,Yes,No,Consensus,0.953,0.0011917285155504,Both,N/A,N/A,N/A
k141_154060,Yes,No,Consensus,0.707,0.1444033533334732,Both,N/A,N/A,N/A
k141_50953,Yes,No,Consensus,0.5,9.629184933146462e-05,Both,N/A,N/A,N/A
k141_15906,Yes,No,Consensus,0.507,0.8138611912727356,Both,N/A,N/A,N/A
k141_68088,Yes,No,Consensus,0.947,0.0623485893011093,Both,N/A,N/A,N/A
k141_55004,Yes,No,Consensus,0.867,0.0032584252767264,Both,N/A,N/A,N/A
k141_72145,Yes,No,Consensus,0.547,0.0398719795048236,Both,N/A,N/A,N/A
k141_38853,Yes,No,Consensus,0.58,0.513297975063324,Both,N/A,N/A,N/A
k141_101444,Yes,No,Consensus,0.607,0.012983507476747,Both,N/A,N/A,N/A
k141_89811,Yes,No,Consensus,0.987,0.0732481256127357,Both,N/A,N/A,N/A
k141_59579,Yes,No,Consensus,1.0,0.1011842191219329,Both,N/A,N/A,N/A
k141_33272,Yes,No,Consensus,0.9,0.9990275502204896,Both,N/A,N/A,N/A
k141_133321,Yes,No,Consensus,0.727,0.0487467348575592,Both,N/A,N/A,N/A
NODE_1263_length_1645_cov_2.336478,No,Yes,Consensus,N/A,N/A,N/A,0.527,0.0082700373604893,Both
k141_47034,Yes,No,Consensus,0.967,0.0667222812771797,Both,N/A,N/A,N/A
k141_127855,Yes,No,Consensus,0.827,0.9999996423721312,Both,N/A,N/A,N/A
NODE_5205_length_1114_cov_2.345609,No,Yes,Consensus,N/A,N/A,N/A,0.82,0.0001371172111248,Both
NODE_6922_length_1032_cov_3.287615,No,Yes,Consensus,N/A,N/A,N/A,0.973,0.0012184968218207,Both
k141_92500,Yes,No,Consensus,0.973,0.0002056408848147,Both,N/A,N/A,N/A
k141_151486,Yes,No,Consensus,0.64,0.0001804525236366,Both,N/A,N/A,N/A
k141_15344,Yes,No,Consensus,0.76,0.1690507382154464,Both,N/A,N/A,N/A
k141_8919,Yes,No,Consensus,0.513,0.0004881205968558,Both,N/A,N/A,N/A
NODE_6078_length_1068_cov_1.354393,No,Yes,Consensus,N/A,N/A,N/A,0.987,0.0087588094174861,Both
k141_47706,Yes,No,Consensus,0.98,0.8457770943641663,Both,N/A,N/A,N/A
k141_125187,Yes,No,Consensus,0.76,0.0265588220208883,Both,N/A,N/A,N/A
k141_78509,Yes,No,Consensus,0.907,0.5997446775436401,Both,N/A,N/A,N/A
k141_181302,Yes,No,Consensus,0.92,0.9602684378623962,Both,N/A,N/A,N/A
k141_170530,Yes,No,Consensus,,0.3753652274608612,Both,N/A,N/A,N/A
k141_91490,Yes,No,Consensus,0.853,0.1417460143566131,Both,N/A,N/A,N/A
k141_3759,Yes,No,Consensus,0.867,0.0029414223972707,Both,N/A,N/A,N/A
k141_158984,Yes,No,Consensus,0.653,0.0191932078450918,Both,N/A,N/A,N/A
k141_86553,Yes,No,Consensus,0.607,5.761742158938432e-06,Both,N/A,N/A,N/A
k141_31875,Yes,No,Consensus,0.993,0.999946355819702,Both,N/A,N/A,N/A
k141_147871,Yes,No,Consensus,0.927,4.659498154069297e-05,Both,N/A,N/A,N/A
k141_180414,Yes,No,Consensus,0.973,0.0109237926080822,Both,N/A,N/A,N/A
k141_171857,Yes,No,Consensus,1.0,0.4037633538246155,Both,N/A,N/A,N/A
k141_170922,Yes,No,Consensus,1.0,0.5001420378684998,Both,N/A,N/A,N/A
k141_101763,Yes,No,Consensus,0.813,0.4295321404933929,Both,N/A,N/A,N/A
k141_172770,Yes,No,Consensus,0.953,0.3495104610919952,Both,N/A,N/A,N/A
k141_10939,Yes,No,Consensus,0.527,0.0742966756224632,Both,N/A,N/A,N/A
k141_131486,Yes,No,Consensus,0.52,0.0004996889620088,Both,N/A,N/A,N/A
k141_31797,Yes,No,Consensus,1.0,0.0292087290436029,Both,N/A,N/A,N/A
k141_167137,Yes,No,Consensus,0.52,0.0648423880338668,Both,N/A,N/A,N/A
k141_49906,Yes,No,Consensus,0.98,0.3078638315200805,Both,N/A,N/A,N/A
k141_156486,Yes,No,Consensus,,0.2620784342288971,Both,N/A,N/A,N/A
k141_38320,Yes,No,Consensus,0.793,0.0066395252943038,Both,N/A,N/A,N/A
k141_90369,Yes,No,Consensus,0.847,0.001357129891403,Both,N/A,N/A,N/A
NODE_4354_length_1172_cov_1.880931,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.0138107761740684,Both
k141_97894,Yes,No,Consensus,0.927,0.0149915646761655,Both,N/A,N/A,N/A
k141_90008,Yes,No,Consensus,1.0,0.0184435993432998,Both,N/A,N/A,N/A
k141_124120,Yes,No,Consensus,0.78,0.9243085384368896,Both,N/A,N/A,N/A
k141_173013,Yes,No,Consensus,,0.3601318597793579,Both,N/A,N/A,N/A
k141_179922,Yes,No,Consensus,0.953,0.988981306552887,Both,N/A,N/A,N/A
k141_139925,Yes,No,Consensus,,0.1818412989377975,Both,N/A,N/A,N/A
k141_142587,Yes,No,Consensus,0.507,0.0020803564693778,Both,N/A,N/A,N/A
k141_165692,Yes,No,Consensus,0.933,1.0642622328305151e-05,Both,N/A,N/A,N/A
k141_67666,Yes,No,Consensus,1.0,0.0128822717815637,Both,N/A,N/A,N/A
NODE_576_length_2064_cov_5.321553,No,Yes,Consensus,N/A,N/A,N/A,0.793,0.1238505020737648,Both
k141_163655,Yes,No,Consensus,,0.933775782585144,Both,N/A,N/A,N/A
k141_50250,Yes,No,Consensus,0.673,0.0028771257493644,Both,N/A,N/A,N/A
NODE_5382_length_1104_cov_1.022879,No,Yes,Consensus,N/A,N/A,N/A,0.573,1.693166450422723e-05,Both
k141_49742,Yes,No,Consensus,0.987,0.3906688094139099,Both,N/A,N/A,N/A
k141_11367,Yes,No,Consensus,0.993,0.0901969298720359,Both,N/A,N/A,N/A
k141_64362,Yes,No,Consensus,0.807,0.1584598869085312,Both,N/A,N/A,N/A
NODE_1936_length_1460_cov_3.055516,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.0061900047585368,Both
NODE_7281_length_1018_cov_1.248183,No,Yes,Consensus,N/A,N/A,N/A,0.973,0.0774849951267242,Both
k141_42912,Yes,No,Consensus,0.84,0.9568124413490297,Both,N/A,N/A,N/A
NODE_930_length_1800_cov_1.631519,No,Yes,Consensus,N/A,N/A,N/A,0.973,0.1916153281927108,Both
k141_94313,Yes,No,Consensus,0.907,0.0013176290085539,Both,N/A,N/A,N/A
k141_1449,Yes,No,Consensus,0.56,0.0017135449452325,Both,N/A,N/A,N/A
k141_99229,Yes,No,Consensus,0.693,0.053998664021492,Both,N/A,N/A,N/A
NODE_4009_length_1197_cov_2.357268,No,Yes,Consensus,N/A,N/A,N/A,,9.107226617288688e-08,Both
NODE_3007_length_1294_cov_1.748991,No,Yes,Consensus,N/A,N/A,N/A,0.613,0.0469331480562686,Both
NODE_58_length_3895_cov_2.256771,No,Yes,Consensus,N/A,N/A,N/A,0.507,3.232509584449872e-07,Both
NODE_4771_length_1144_cov_1.549128,No,Yes,Consensus,N/A,N/A,N/A,0.873,0.0153280673548579,Both
k141_85507,Yes,No,Consensus,0.753,0.000130977059598,Both,N/A,N/A,N/A
k141_120098,Yes,No,Consensus,0.66,0.0057962774299085,Both,N/A,N/A,N/A
k141_157403,Yes,No,Consensus,0.8,0.013987248763442,Both,N/A,N/A,N/A
k141_80902,Yes,No,Consensus,0.687,0.074820689857006,Both,N/A,N/A,N/A
k141_98253,Yes,No,Consensus,0.993,0.9996910095214844,Both,N/A,N/A,N/A
k141_79372,Yes,No,Consensus,0.947,2.7050289645558223e-05,Both,N/A,N/A,N/A
NODE_2352_length_1382_cov_2.902788,No,Yes,Consensus,N/A,N/A,N/A,,0.9983310699462892,Both
k141_28796,Yes,No,Consensus,0.54,4.419876495376229e-05,Both,N/A,N/A,N/A
k141_13558,Yes,No,Consensus,0.96,0.0153695102781057,Both,N/A,N/A,N/A
k141_12110,Yes,No,Consensus,0.907,0.3984523117542267,Both,N/A,N/A,N/A
k141_111478,Yes,No,Consensus,0.76,0.2175377011299133,Both,N/A,N/A,N/A
k141_28897,Yes,No,Consensus,0.56,0.0092075681313872,Both,N/A,N/A,N/A
k141_146161,Yes,No,Consensus,0.82,0.8767002820968628,Both,N/A,N/A,N/A
k141_105761,Yes,No,Consensus,1.0,0.5180891156196594,Both,N/A,N/A,N/A
k141_153318,Yes,No,Consensus,0.927,8.541476563550532e-05,Both,N/A,N/A,N/A
k141_149445,Yes,No,Consensus,1.0,0.7527948617935181,Both,N/A,N/A,N/A
k141_61160,Yes,No,Consensus,0.667,0.0049667311832308,Both,N/A,N/A,N/A
NODE_5430_length_1101_cov_1.511472,No,Yes,Consensus,N/A,N/A,N/A,0.96,0.0044634793885052,Both
k141_26691,Yes,No,Consensus,0.927,0.0087043540552258,Both,N/A,N/A,N/A
k141_64483,Yes,No,Consensus,0.68,0.0855148211121559,Both,N/A,N/A,N/A
k141_141136,Yes,No,Consensus,0.847,0.0311756264418363,Both,N/A,N/A,N/A
k141_69426,Yes,No,Consensus,0.507,0.99394428730011,Both,N/A,N/A,N/A
k141_64195,Yes,No,Consensus,0.94,0.1755040436983108,Both,N/A,N/A,N/A
k141_7056,Yes,No,Consensus,0.74,0.0061594927683472,Both,N/A,N/A,N/A
k141_59113,Yes,No,Consensus,0.587,3.949880920117721e-07,Both,N/A,N/A,N/A
k141_121497,Yes,No,Consensus,0.967,0.0343136191368103,Both,N/A,N/A,N/A
NODE_5920_length_1076_cov_1.595495,No,Yes,Consensus,N/A,N/A,N/A,0.56,0.0260393545031547,Both
k141_79995,Yes,No,Consensus,0.68,0.2105869203805923,Both,N/A,N/A,N/A
k141_75404,Yes,No,Consensus,0.68,0.1048060581088066,Both,N/A,N/A,N/A
NODE_877_length_1827_cov_3.371896,No,Yes,Consensus,N/A,N/A,N/A,0.96,0.9650520086288452,Both
k141_74152,Yes,No,Consensus,0.727,0.0106746312230825,Both,N/A,N/A,N/A
k141_57860,Yes,No,Consensus,0.56,0.1262206733226776,Both,N/A,N/A,N/A
k141_130092,Yes,No,Consensus,0.833,0.0400029830634593,Both,N/A,N/A,N/A
k141_1809,Yes,No,Consensus,0.927,0.1383668333292007,Both,N/A,N/A,N/A
k141_14965,Yes,No,Consensus,,0.8958053588867188,Both,N/A,N/A,N/A
NODE_1644_length_1525_cov_2.221769,No,Yes,Consensus,N/A,N/A,N/A,0.967,0.1800619661808014,Both
NODE_4578_length_1156_cov_3.778383,No,Yes,Consensus,N/A,N/A,N/A,0.98,0.1835726499557495,Both
k141_145583,Yes,No,Consensus,1.0,0.1671301573514938,Both,N/A,N/A,N/A
NODE_7573_length_1008_cov_1.238195,No,Yes,Consensus,N/A,N/A,N/A,0.653,3.7940717447781935e-06,Both
k141_155334,Yes,No,Consensus,0.92,0.0112736821174621,Both,N/A,N/A,N/A
k141_25775,Yes,No,Consensus,0.907,0.0031651770696043,Both,N/A,N/A,N/A
NODE_133_length_3199_cov_2.799936,No,Yes,Consensus,N/A,N/A,N/A,0.853,0.0134931057691574,Both
k141_42577,Yes,No,Consensus,0.527,0.0125742927193641,Both,N/A,N/A,N/A
NODE_1867_length_1478_cov_7.661982,No,Yes,Consensus,N/A,N/A,N/A,0.94,0.0442560575902462,Both
k141_21756,Yes,No,Consensus,0.92,0.2796322107315063,Both,N/A,N/A,N/A
k141_120689,Yes,No,Consensus,0.62,1.5586977042403305e-06,Both,N/A,N/A,N/A
k141_157112,Yes,No,Consensus,0.973,0.4005569517612457,Both,N/A,N/A,N/A
k141_73440,Yes,No,Consensus,0.533,0.4643035531044006,Both,N/A,N/A,N/A
NODE_4592_length_1156_cov_1.211626,No,Yes,Consensus,N/A,N/A,N/A,,2.5244702555937693e-05,Both
NODE_5770_length_1083_cov_1.194553,No,Yes,Consensus,N/A,N/A,N/A,0.56,0.4667692482471466,Both
k141_55311,Yes,No,Consensus,,0.0086010368540883,Both,N/A,N/A,N/A
k141_10157,Yes,No,Consensus,0.813,0.4148398637771606,Both,N/A,N/A,N/A
NODE_7365_length_1014_cov_2.621481,No,Yes,Consensus,N/A,N/A,N/A,,0.9998804330825806,Both
k141_84730,Yes,No,Consensus,0.873,0.0002737468166742,Both,N/A,N/A,N/A
k141_150136,Yes,No,Consensus,0.747,0.0067891827784478,Both,N/A,N/A,N/A
k141_60827,Yes,No,Consensus,0.5,4.137415601235261e-07,Both,N/A,N/A,N/A
k141_36411,Yes,No,Consensus,1.0,0.088318333029747,Both,N/A,N/A,N/A
k141_79897,Yes,No,Consensus,1.0,0.0931266695261001,Both,N/A,N/A,N/A
k141_29756,Yes,No,Consensus,0.973,0.543339729309082,Both,N/A,N/A,N/A
k141_150976,Yes,No,Consensus,1.0,0.7128375768661499,Both,N/A,N/A,N/A
NODE_1918_length_1466_cov_2.523033,No,Yes,Consensus,N/A,N/A,N/A,,3.992912752437405e-06,Both
NODE_705_length_1941_cov_3.234889,No,Yes,Consensus,N/A,N/A,N/A,0.507,0.7129908800125122,Both
k141_88501,Yes,No,Consensus,0.593,0.015436346642673,Both,N/A,N/A,N/A
NODE_2332_length_1385_cov_3.454887,No,Yes,Consensus,N/A,N/A,N/A,0.947,0.2816865742206573,Both
k141_147878,Yes,No,Consensus,0.567,0.0139387091621756,Both,N/A,N/A,N/A
NODE_5908_length_1077_cov_1.268102,No,Yes,Consensus,N/A,N/A,N/A,0.98,0.9978352189064026,Both
NODE_1946_length_1458_cov_2.116180,No,Yes,Consensus,N/A,N/A,N/A,0.547,0.3659594655036926,Both
k141_132735,Yes,No,Consensus,0.953,0.1019294038414955,Both,N/A,N/A,N/A
k141_34208,Yes,No,Consensus,0.793,0.5739097595214844,Both,N/A,N/A,N/A
k141_180941,Yes,No,Consensus,0.54,0.000332919153152,Both,N/A,N/A,N/A
k141_129028,Yes,No,Consensus,1.0,0.9971705675125122,Both,N/A,N/A,N/A
